EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],u_sdss,g_sdss,r_sdss,i_sdss,z_sdss,phase
955,9.39,1.5898194556437275,1.5443431028606835,3.5106235173902594,0.16389757599582933,3.460055957158098,0.01,0.069629,3.676049,0.724425,-0.683356,-2.705647,-3.722114,5.0
956,9.39,1.5898195993392301,1.5442912930385608,3.5122324662464197,0.18432526497020116,3.446049497608244,0.01,0.069628,3.676743,0.679976,-0.732143,-2.710446,-3.707518,5.0
957,9.39,1.5898197646823375,1.5442458848049312,3.5138379603850844,0.20474260176956807,3.4320413687302445,0.01,0.069628,3.677207,0.635052,-0.782827,-2.715002,-3.692494,5.0
958,9.39,1.589819958870961,1.5442015714322852,3.5146432359864375,0.21562492793207869,3.4243677180077094,0.01,0.069628,3.678479,0.613928,-0.807237,-2.715563,-3.683184,5.0
959,9.39,1.5898201842857183,1.5441491329930923,3.51537612563856,0.22509400468403265,3.41781552596493,0.01,0.06963,3.678823,0.59352,-0.83092,-2.717143,-3.675731,5.0
960,9.39,1.5898204409483057,1.5440897535418912,3.5176179716140363,0.2548828863647625,3.3969773844001443,0.01,0.06963,3.680923,0.532598,-0.902963,-2.719677,-3.650494,5.0
961,9.39,1.5898207210834525,1.5440290680204853,3.5208138742140775,0.29577049936273875,3.36885655540811,0.01,0.069629,3.680264,0.441144,-1.012683,-2.726542,-3.617479,5.0
962,9.39,1.589821036517329,1.543994908341799,3.5240255483504064,0.33730108126030467,3.3401631376705927,0.01,0.069629,3.6794,0.350745,-1.122639,-2.731013,-3.58194,5.0
963,9.39,1.5898214726511921,1.5439638032298102,3.52697203734661,0.37559456117053763,3.313646925164149,0.01,0.069629,3.678125,0.269889,-1.221306,-2.733064,-3.547653,5.0
964,9.39,1.589822576140546,1.5439186798927955,3.5277441970434387,0.3847802145044724,3.30753724981012,0.01,0.069629,3.67616,0.247009,-1.248842,-2.735456,-3.540578,5.0
965,9.39,1.5898231887883656,1.543860613661947,3.5264717740583396,0.36753817493304125,3.31967340493532,0.01,0.069629,3.675679,0.279622,-1.208844,-2.736766,-3.557415,5.0
966,9.39,1.589823711787006,1.5438114869880364,3.526202839193676,0.36356029713133364,3.322561851592471,0.01,0.069629,3.674986,0.285769,-1.201161,-2.73783,-3.561761,5.0
967,9.39,1.5898242280886934,1.543759574741741,3.525931550199074,0.3597288720489364,3.3252936746249433,0.01,0.069629,3.674608,0.292448,-1.192895,-2.73842,-3.565675,5.0
968,9.39,1.5898248292318702,1.5436880462559903,3.5256264022917008,0.3554681782457016,3.328313926493211,0.01,0.069629,3.674274,0.300117,-1.183426,-2.73893,-3.569932,5.0
969,9.39,1.5898254658271433,1.5436094275345562,3.525242252813185,0.3505190716640074,3.3317043502023154,0.01,0.069629,3.674576,0.310834,-1.170368,-2.738487,-3.574232,5.0
970,9.39,1.5898262036598294,1.5435041546931272,3.5248817879028675,0.3459474087841076,3.334804478388774,0.01,0.069629,3.675001,0.321131,-1.157857,-2.737836,-3.578042,5.0
971,9.39,1.5898270459582244,1.5433586634525835,3.5246637294714613,0.3430514565172068,3.336787091078915,0.01,0.069629,3.675077,0.327109,-1.150554,-2.737705,-3.580609,5.0
972,9.39,1.5898281685185107,1.5431012816773362,3.524402891488033,0.3400179807439268,3.3387043910777705,0.01,0.069629,3.675992,0.335408,-1.140607,-2.736374,-3.582524,5.0
973,9.39,1.5898296975541018,1.5427081635116096,3.5234999795711786,0.32841879207444213,3.346580567971788,0.01,0.06963,3.676791,0.361122,-1.109334,-2.73485,-3.592214,5.0
974,9.39,1.589831317599901,1.5420631620411598,3.5217544768661315,0.30584806584553753,3.3619864187091806,0.01,0.069631,3.677779,0.410713,-1.049058,-2.731993,-3.611104,5.0
975,9.39,1.589833986916387,1.540464077881645,3.5210318619911156,0.2967209085248146,3.3677690636809587,0.01,0.06963,3.679439,0.432818,-1.022558,-2.729176,-3.617316,5.0
976,9.39,1.5898349184784246,1.5402107085811294,3.522596189380349,0.3167307414812585,3.3539446094652323,0.01,0.06963,3.678872,0.388291,-1.076616,-2.731894,-3.600509,5.0
977,9.39,1.5898354854135193,1.5401331789002404,3.523499390551523,0.32780544443510096,3.3464607298994418,0.01,0.06963,3.677535,0.361438,-1.1091,-2.734584,-3.591928,5.0
978,9.39,1.5898359868421108,1.540094422554808,3.5238710295157594,0.3322946090492617,3.3434471612348777,0.01,0.069631,3.676849,0.350273,-1.122595,-2.735815,-3.58853,5.0
979,9.39,1.5898364474329028,1.5400503833672647,3.5243467375245423,0.33837704790182543,3.3392550765012543,0.01,0.069631,3.676544,0.336834,-1.138969,-2.736506,-3.583311,5.0
980,9.39,1.5898369571498847,1.5399836160833043,3.5247965444046443,0.3441188419271953,3.335293566406898,0.01,0.069631,3.676242,0.324179,-1.154393,-2.73712,-3.578351,5.0
981,9.39,1.589837557376637,1.5398784000663772,3.525142355362358,0.34870123541360476,3.3320645450528357,0.01,0.069631,3.676332,0.314927,-1.165745,-2.737103,-3.574059,5.0
982,9.39,1.5898382643556084,1.5397057735041364,3.5254153444103222,0.3521773350268408,3.3296313486241327,0.01,0.06963,3.676209,0.307357,-1.174988,-2.73737,-3.57095,5.0
983,9.39,1.5898391545918087,1.5393975632406667,3.5256267379463098,0.3549599973470041,3.3276065784655193,0.01,0.06963,3.676399,0.301868,-1.181753,-2.737204,-3.56818,5.0
984,9.39,1.5898406820594577,1.5385973052990152,3.52615313611028,0.3621822043411984,3.3222614819788276,0.01,0.069631,3.677398,0.288993,-1.197749,-2.735983,-3.560494,5.0
985,9.39,1.589841283560823,1.5383988850764077,3.527826538528604,0.3843422413320686,3.306739586767402,0.01,0.069631,3.677308,0.24494,-1.251628,-2.735435,-3.539487,5.0
986,9.39,1.5898418474805163,1.5382065101177216,3.529292836133624,0.40461559304313444,3.292278663972435,0.01,0.069631,3.678587,0.209351,-1.295314,-2.732184,-3.518545,5.0
987,9.39,1.5898427214673911,1.5378222215977768,3.531013487181512,0.4277584050580986,3.2759130686548863,0.01,0.069632,3.678803,0.16733,-1.346341,-2.729164,-3.495022,5.0
988,9.39,1.5898429917182957,1.537699962795967,3.5302298846546707,0.4168796255395495,3.2836237469513736,0.01,0.069632,3.678328,0.18564,-1.324077,-2.731314,-3.506452,5.0
